#phase	intensity
0.328000	5.521600
0.330000	5.526400
0.332000	5.533600
0.334000	5.540800
0.336000	5.545600
0.338000	5.552800
0.340000	5.557600
0.342000	5.564800
0.344000	5.572000
0.346000	5.576800
0.348000	5.584000
0.350000	5.588800
0.352000	5.596000
0.354000	5.603200
0.356000	5.610400
0.358000	5.615200
0.360000	5.622400
0.362000	5.629600
0.364000	5.634400
0.366000	5.641600
0.368000	5.648800
0.370000	5.653600
0.372000	5.660800
0.374000	5.668000
0.376000	5.675200
0.378000	5.680000
0.380000	5.687200
0.382000	5.694400
0.384000	5.699200
0.386000	5.706400
0.388000	5.713600
0.390000	5.718400
0.392000	5.725600
0.394000	5.732800
0.396000	5.737600
0.398000	5.744800
0.400000	5.752000
0.402000	5.756800
0.404000	5.764000
0.406000	5.771200
0.408000	5.776000
0.410000	5.783200
0.412000	5.788000
0.414000	5.795200
0.416000	5.802400
0.418000	5.807200
0.420000	5.814400
0.422000	5.819200
0.424000	5.826400
0.426000	5.833600
0.428000	5.838400
0.430000	5.845600
0.432000	5.850400
0.434000	5.857600
0.436000	5.864800
0.438000	5.869600
0.440000	5.876800
0.442000	5.881600
0.444000	5.888800
0.446000	5.893600
0.448000	5.898400
0.450000	5.905600
0.452000	5.910400
0.454000	5.915200
0.456000	5.922400
0.458000	5.927200
0.460000	5.932000
0.462000	5.936800
0.464000	5.944000
0.466000	5.948800
0.468000	5.953600
0.470000	5.958400
0.472000	5.963200
0.474000	5.968000
0.476000	5.972800
0.478000	5.977600
0.480000	5.982400
0.482000	5.987200
0.484000	5.989600
0.486000	5.994400
0.488000	5.999200
0.490000	6.004000
0.492000	6.008800
0.494000	6.011200
0.496000	6.016000
0.498000	6.020800
0.500000	6.023200
0.502000	6.028000
0.504000	6.030400
0.506000	6.035200
0.508000	6.037600
0.510000	6.042400
0.512000	6.044800
0.514000	6.047200
0.516000	6.052000
0.518000	6.054400
0.520000	6.056800
0.522000	6.059200
0.524000	6.064000
0.526000	6.066400
0.528000	6.068800
0.530000	6.071200
0.532000	6.073600
0.534000	6.076000
0.536000	6.078400
0.538000	6.080800
0.540000	6.083200
0.542000	6.085600
0.544000	6.088000
0.546000	6.088000
0.548000	6.090400
0.550000	6.092800
0.552000	6.092800
0.554000	6.095200
0.556000	6.097600
0.558000	6.097600
0.560000	6.100000
0.562000	6.100000
0.564000	6.102400
0.566000	6.102400
0.568000	6.104800
0.570000	6.104800
0.572000	6.104800
0.574000	6.107200
0.576000	6.107200
0.578000	6.107200
0.580000	6.107200
0.582000	6.107200
0.584000	6.109600
0.586000	6.109600
0.588000	6.109600
0.590000	6.109600
0.592000	6.109600
0.594000	6.109600
0.596000	6.112000
0.598000	6.112000
0.600000	6.112000
0.602000	6.112000
0.604000	6.112000
0.606000	6.114400
0.608000	6.114400
0.610000	6.114400
0.612000	6.114400
0.614000	6.116800
0.616000	6.116800
0.618000	6.116800
0.620000	6.116800
0.622000	6.119200
0.624000	6.119200
0.626000	6.119200
0.628000	6.121600
0.630000	6.121600
0.632000	6.121600
0.634000	6.124000
0.636000	6.124000
0.638000	6.124000
0.640000	6.126400
0.642000	6.126400
0.644000	6.126400
0.646000	6.128800
0.648000	6.128800
0.650000	6.128800
0.652000	6.131200
0.654000	6.131200
0.656000	6.131200
0.658000	6.133600
0.660000	6.133600
0.662000	6.133600
0.664000	6.136000
0.666000	6.136000
0.668000	6.136000
0.670000	6.138400
0.672000	6.138400
0.674000	6.138400
0.676000	6.138400
0.678000	6.138400
0.680000	6.138400
0.682000	6.138400
0.684000	6.140800
0.686000	6.140800
0.688000	6.140800
0.690000	6.140800
0.692000	6.140800
0.694000	6.140800
0.696000	6.140800
0.698000	6.140800
0.700000	6.140800
0.702000	6.140800
0.704000	6.140800
0.706000	6.140800
0.708000	6.138400
0.710000	6.138400
0.712000	6.138400
0.714000	6.138400
0.716000	6.138400
0.718000	6.136000
0.720000	6.136000
0.722000	6.136000
0.724000	6.136000
0.726000	6.133600
0.728000	6.133600
0.730000	6.133600
0.732000	6.133600
0.734000	6.136000
0.736000	6.136000
0.738000	6.136000
0.740000	6.138400
0.742000	6.140800
0.744000	6.140800
0.746000	6.143200
0.748000	6.145600
0.750000	6.148000
0.752000	6.150400
0.754000	6.155200
0.756000	6.157600
0.758000	6.160000
0.760000	6.164800
0.762000	6.169600
0.764000	6.174400
0.766000	6.176800
0.768000	6.181600
0.770000	6.188800
0.772000	6.193600
0.774000	6.198400
0.776000	6.205600
0.778000	6.212800
0.780000	6.217600
0.782000	6.224800
0.784000	6.232000
0.786000	6.239200
0.788000	6.246400
0.790000	6.256000
0.792000	6.263200
0.794000	6.270400
0.796000	6.277600
0.798000	6.284800
0.800000	6.294400
0.802000	6.301600
0.804000	6.308800
0.806000	6.316000
0.808000	6.323200
0.810000	6.330400
0.812000	6.337600
0.814000	6.342400
0.816000	6.349600
0.818000	6.354400
0.820000	6.359200
0.822000	6.364000
0.824000	6.368800
0.826000	6.373600
0.828000	6.376000
0.830000	6.380800
0.832000	6.383200
0.834000	6.385600
0.836000	6.388000
0.838000	6.388000
0.840000	6.390400
0.842000	6.392800
0.844000	6.392800
0.846000	6.395200
0.848000	6.395200
0.850000	6.397600
0.852000	6.397600
0.854000	6.397600
0.856000	6.400000
0.858000	6.400000
0.860000	6.400000
0.862000	6.400000
0.864000	6.397600
0.866000	6.395200
0.868000	6.390400
0.870000	6.385600
0.872000	6.378400
0.874000	6.368800
0.876000	6.359200
0.878000	6.347200
0.880000	6.332800
0.882000	6.318400
0.884000	6.299200
0.886000	6.280000
0.888000	6.258400
0.890000	6.236800
0.892000	6.210400
0.894000	6.184000
0.896000	6.155200
0.898000	6.124000
0.900000	6.090400
0.902000	6.054400
0.904000	6.018400
0.906000	5.977600
0.908000	5.936800
0.910000	5.893600
0.912000	5.848000
0.914000	5.800000
0.916000	5.752000
0.918000	5.699200
0.920000	5.646400
0.922000	5.591200
0.924000	5.536000
0.926000	5.476000
0.928000	5.416000
0.930000	5.353600
0.932000	5.288800
0.934000	5.224000
0.936000	5.156800
0.938000	5.089600
0.940000	5.022400
0.942000	4.957600
0.944000	4.890400
0.946000	4.825600
0.948000	4.763200
0.950000	4.703200
0.952000	4.645600
0.954000	4.590400
0.956000	4.540000
0.958000	4.489600
0.960000	4.444000
0.962000	4.400800
0.964000	4.360000
0.966000	4.321600
0.968000	4.285600
0.970000	4.252000
0.972000	4.218400
0.974000	4.187200
0.976000	4.160800
0.978000	4.132000
0.980000	4.108000
0.982000	4.086400
0.984000	4.064800
0.986000	4.048000
0.988000	4.033600
0.990000	4.021600
0.992000	4.012000
0.994000	4.004800
0.996000	4.002400
0.998000	4.000000
1.000000	4.002400
1.002000	4.002400
1.004000	4.007200
1.006000	4.012000
1.008000	4.019200
1.010000	4.028800
1.012000	4.038400
1.014000	4.050400
1.016000	4.062400
1.018000	4.074400
1.020000	4.086400
1.022000	4.100800
1.024000	4.115200
1.026000	4.127200
1.028000	4.139200
1.030000	4.151200
1.032000	4.163200
1.034000	4.175200
1.036000	4.187200
1.038000	4.199200
1.040000	4.211200
1.042000	4.220800
1.044000	4.232800
1.046000	4.244800
1.048000	4.256800
1.050000	4.268800
1.052000	4.280800
1.054000	4.295200
1.056000	4.307200
1.058000	4.319200
1.060000	4.333600
1.062000	4.345600
1.064000	4.357600
1.066000	4.372000
1.068000	4.384000
1.070000	4.396000
1.072000	4.408000
1.074000	4.420000
1.076000	4.434400
1.078000	4.446400
1.080000	4.458400
1.082000	4.470400
1.084000	4.482400
1.086000	4.494400
1.088000	4.506400
1.090000	4.520800
1.092000	4.532800
1.094000	4.544800
1.096000	4.556800
1.098000	4.568800
1.100000	4.580800
1.102000	4.592800
1.104000	4.604800
1.106000	4.616800
1.108000	4.628800
1.110000	4.640800
1.112000	4.650400
1.114000	4.662400
1.116000	4.674400
1.118000	4.686400
1.120000	4.696000
1.122000	4.708000
1.124000	4.720000
1.126000	4.729600
1.128000	4.741600
1.130000	4.751200
1.132000	4.763200
1.134000	4.772800
1.136000	4.784800
1.138000	4.794400
1.140000	4.804000
1.142000	4.816000
1.144000	4.825600
1.146000	4.837600
1.148000	4.847200
1.150000	4.856800
1.152000	4.866400
1.154000	4.876000
1.156000	4.888000
1.158000	4.897600
1.160000	4.907200
1.162000	4.916800
1.164000	4.926400
1.166000	4.936000
1.168000	4.945600
1.170000	4.955200
1.172000	4.964800
1.174000	4.974400
1.176000	4.981600
1.178000	4.991200
1.180000	5.000800
1.182000	5.010400
1.184000	5.020000
1.186000	5.027200
1.188000	5.036800
1.190000	5.046400
1.192000	5.053600
1.194000	5.063200
1.196000	5.072800
1.198000	5.080000
1.200000	5.089600
1.202000	5.096800
1.204000	5.106400
1.206000	5.113600
1.208000	5.120800
1.210000	5.130400
1.212000	5.137600
1.214000	5.147200
1.216000	5.154400
1.218000	5.161600
1.220000	5.168800
1.222000	5.178400
1.224000	5.185600
1.226000	5.192800
1.228000	5.200000
1.230000	5.207200
1.232000	5.214400
1.234000	5.221600
1.236000	5.228800
1.238000	5.236000
1.240000	5.243200
1.242000	5.250400
1.244000	5.257600
1.246000	5.264800
1.248000	5.272000
1.250000	5.279200
1.252000	5.286400
1.254000	5.293600
1.256000	5.300800
1.258000	5.305600
1.260000	5.312800
1.262000	5.320000
1.264000	5.327200
1.266000	5.334400
1.268000	5.339200
1.270000	5.346400
1.272000	5.353600
1.274000	5.358400
1.276000	5.365600
1.278000	5.372800
1.280000	5.377600
1.282000	5.384800
1.284000	5.389600
1.286000	5.396800
1.288000	5.401600
1.290000	5.408800
1.292000	5.413600
1.294000	5.420800
1.296000	5.425600
1.298000	5.430400
1.300000	5.437600
1.302000	5.442400
1.304000	5.449600
1.306000	5.454400
1.308000	5.461600
1.310000	5.466400
1.312000	5.473600
1.314000	5.478400
1.316000	5.485600
1.318000	5.490400
1.320000	5.497600
1.322000	5.502400
1.324000	5.509600
1.326000	5.514400
1.328000	5.521600
1.330000	5.526400
1.332000	5.533600
1.334000	5.540800
1.336000	5.545600
1.338000	5.552800
1.340000	5.557600
1.342000	5.564800
1.344000	5.572000
1.346000	5.576800
1.348000	5.584000
1.350000	5.588800
1.352000	5.596000
1.354000	5.603200
1.356000	5.610400
1.358000	5.615200
1.360000	5.622400
1.362000	5.629600
1.364000	5.634400
1.366000	5.641600
1.368000	5.648800
1.370000	5.653600
1.372000	5.660800
1.374000	5.668000
1.376000	5.675200
1.378000	5.680000
1.380000	5.687200
1.382000	5.694400
1.384000	5.699200
1.386000	5.706400
1.388000	5.713600
1.390000	5.718400
1.392000	5.725600
1.394000	5.732800
1.396000	5.737600
1.398000	5.744800
1.400000	5.752000
1.402000	5.756800
1.404000	5.764000
1.406000	5.771200
1.408000	5.776000
1.410000	5.783200
1.412000	5.788000
1.414000	5.795200
1.416000	5.802400
1.418000	5.807200
1.420000	5.814400
1.422000	5.819200
1.424000	5.826400
1.426000	5.833600
1.428000	5.838400
1.430000	5.845600
1.432000	5.850400
1.434000	5.857600
1.436000	5.864800
1.438000	5.869600
1.440000	5.876800
1.442000	5.881600
1.444000	5.888800
1.446000	5.893600
1.448000	5.898400
1.450000	5.905600
1.452000	5.910400
1.454000	5.915200
1.456000	5.922400
1.458000	5.927200
1.460000	5.932000
1.462000	5.936800
1.464000	5.944000
1.466000	5.948800
1.468000	5.953600
1.470000	5.958400
1.472000	5.963200
1.474000	5.968000
1.476000	5.972800
1.478000	5.977600
1.480000	5.982400
1.482000	5.987200
1.484000	5.989600
1.486000	5.994400
1.488000	5.999200
1.490000	6.004000
1.492000	6.008800
1.494000	6.011200
1.496000	6.016000
1.498000	6.020800
1.500000	6.023200
1.502000	6.028000
1.504000	6.030400
1.506000	6.035200
1.508000	6.037600
1.510000	6.042400
1.512000	6.044800
1.514000	6.047200
1.516000	6.052000
1.518000	6.054400
1.520000	6.056800
1.522000	6.059200
1.524000	6.064000
1.526000	6.066400
1.528000	6.068800
1.530000	6.071200
1.532000	6.073600
1.534000	6.076000
1.536000	6.078400
1.538000	6.080800
1.540000	6.083200
1.542000	6.085600
1.544000	6.088000
1.546000	6.088000
1.548000	6.090400
1.550000	6.092800
1.552000	6.092800
1.554000	6.095200
1.556000	6.097600
1.558000	6.097600
1.560000	6.100000
1.562000	6.100000
1.564000	6.102400
1.566000	6.102400
1.568000	6.104800
1.570000	6.104800
1.572000	6.104800
1.574000	6.107200
1.576000	6.107200
1.578000	6.107200
1.580000	6.107200
1.582000	6.107200
1.584000	6.109600
1.586000	6.109600
1.588000	6.109600
1.590000	6.109600
1.592000	6.109600
1.594000	6.109600
1.596000	6.112000
1.598000	6.112000
1.600000	6.112000
1.602000	6.112000
1.604000	6.112000
1.606000	6.114400
1.608000	6.114400
1.610000	6.114400
1.612000	6.114400
1.614000	6.116800
1.616000	6.116800
1.618000	6.116800
1.620000	6.116800
1.622000	6.119200
1.624000	6.119200
1.626000	6.119200
1.628000	6.121600
1.630000	6.121600
1.632000	6.121600
1.634000	6.124000
1.636000	6.124000
1.638000	6.124000
1.640000	6.126400
1.642000	6.126400
1.644000	6.126400
1.646000	6.128800
1.648000	6.128800
1.650000	6.128800
1.652000	6.131200
1.654000	6.131200
1.656000	6.131200
1.658000	6.133600
1.660000	6.133600
1.662000	6.133600
1.664000	6.136000
1.666000	6.136000
1.668000	6.136000
1.670000	6.138400
1.672000	6.138400
1.674000	6.138400
1.676000	6.138400
1.678000	6.138400
1.680000	6.138400
1.682000	6.138400
1.684000	6.140800
1.686000	6.140800
1.688000	6.140800
1.690000	6.140800
1.692000	6.140800
1.694000	6.140800
1.696000	6.140800
1.698000	6.140800
1.700000	6.140800
1.702000	6.140800
1.704000	6.140800
1.706000	6.140800
1.708000	6.138400
1.710000	6.138400
1.712000	6.138400
1.714000	6.138400
1.716000	6.138400
1.718000	6.136000
1.720000	6.136000
1.722000	6.136000
1.724000	6.136000
1.726000	6.133600
1.728000	6.133600
1.730000	6.133600
1.732000	6.133600
1.734000	6.136000
1.736000	6.136000
1.738000	6.136000
1.740000	6.138400
1.742000	6.140800
1.744000	6.140800
1.746000	6.143200
1.748000	6.145600
1.750000	6.148000
1.752000	6.150400
1.754000	6.155200
1.756000	6.157600
1.758000	6.160000
1.760000	6.164800
1.762000	6.169600
1.764000	6.174400
1.766000	6.176800
1.768000	6.181600
1.770000	6.188800
1.772000	6.193600
1.774000	6.198400
1.776000	6.205600
1.778000	6.212800
1.780000	6.217600
1.782000	6.224800
1.784000	6.232000
1.786000	6.239200
1.788000	6.246400
1.790000	6.256000
1.792000	6.263200
1.794000	6.270400
1.796000	6.277600
1.798000	6.284800
1.800000	6.294400
1.802000	6.301600
1.804000	6.308800
1.806000	6.316000
1.808000	6.323200
1.810000	6.330400
1.812000	6.337600
1.814000	6.342400
1.816000	6.349600
1.818000	6.354400
1.820000	6.359200
1.822000	6.364000
1.824000	6.368800
1.826000	6.373600
1.828000	6.376000
1.830000	6.380800
1.832000	6.383200
1.834000	6.385600
1.836000	6.388000
1.838000	6.388000
1.840000	6.390400
1.842000	6.392800
1.844000	6.392800
1.846000	6.395200
1.848000	6.395200
1.850000	6.397600
1.852000	6.397600
1.854000	6.397600
1.856000	6.400000
1.858000	6.400000
1.860000	6.400000
1.862000	6.400000
1.864000	6.397600
1.866000	6.395200
1.868000	6.390400
1.870000	6.385600
1.872000	6.378400
1.874000	6.368800
1.876000	6.359200
1.878000	6.347200
1.880000	6.332800
1.882000	6.318400
1.884000	6.299200
1.886000	6.280000
1.888000	6.258400
1.890000	6.236800
1.892000	6.210400
1.894000	6.184000
1.896000	6.155200
1.898000	6.124000
1.900000	6.090400
1.902000	6.054400
1.904000	6.018400
1.906000	5.977600
1.908000	5.936800
1.910000	5.893600
1.912000	5.848000
1.914000	5.800000
1.916000	5.752000
1.918000	5.699200
1.920000	5.646400
1.922000	5.591200
1.924000	5.536000
1.926000	5.476000
1.928000	5.416000
1.930000	5.353600
1.932000	5.288800
1.934000	5.224000
1.936000	5.156800
1.938000	5.089600
1.940000	5.022400
1.942000	4.957600
1.944000	4.890400
1.946000	4.825600
1.948000	4.763200
1.950000	4.703200
1.952000	4.645600
1.954000	4.590400
1.956000	4.540000
1.958000	4.489600
1.960000	4.444000
1.962000	4.400800
1.964000	4.360000
1.966000	4.321600
1.968000	4.285600
1.970000	4.252000
1.972000	4.218400
1.974000	4.187200
1.976000	4.160800
1.978000	4.132000
1.980000	4.108000
1.982000	4.086400
1.984000	4.064800
1.986000	4.048000
1.988000	4.033600
1.990000	4.021600
1.992000	4.012000
1.994000	4.004800
1.996000	4.002400
1.998000	4.000000
2.000000	4.002400
2.002000	4.002400
2.004000	4.007200
2.006000	4.012000
2.008000	4.019200
2.010000	4.028800
2.012000	4.038400
2.014000	4.050400
2.016000	4.062400
2.018000	4.074400
2.020000	4.086400
2.022000	4.100800
2.024000	4.115200
2.026000	4.127200
2.028000	4.139200
2.030000	4.151200
2.032000	4.163200
2.034000	4.175200
2.036000	4.187200
2.038000	4.199200
2.040000	4.211200
2.042000	4.220800
2.044000	4.232800
2.046000	4.244800
2.048000	4.256800
2.050000	4.268800
2.052000	4.280800
2.054000	4.295200
2.056000	4.307200
2.058000	4.319200
2.060000	4.333600
2.062000	4.345600
2.064000	4.357600
2.066000	4.372000
2.068000	4.384000
2.070000	4.396000
2.072000	4.408000
2.074000	4.420000
2.076000	4.434400
2.078000	4.446400
2.080000	4.458400
2.082000	4.470400
2.084000	4.482400
2.086000	4.494400
2.088000	4.506400
2.090000	4.520800
2.092000	4.532800
2.094000	4.544800
2.096000	4.556800
2.098000	4.568800
2.100000	4.580800
2.102000	4.592800
2.104000	4.604800
2.106000	4.616800
2.108000	4.628800
2.110000	4.640800
2.112000	4.650400
2.114000	4.662400
2.116000	4.674400
2.118000	4.686400
2.120000	4.696000
2.122000	4.708000
2.124000	4.720000
2.126000	4.729600
2.128000	4.741600
2.130000	4.751200
2.132000	4.763200
2.134000	4.772800
2.136000	4.784800
2.138000	4.794400
2.140000	4.804000
2.142000	4.816000
2.144000	4.825600
2.146000	4.837600
2.148000	4.847200
2.150000	4.856800
2.152000	4.866400
2.154000	4.876000
2.156000	4.888000
2.158000	4.897600
2.160000	4.907200
2.162000	4.916800
2.164000	4.926400
2.166000	4.936000
2.168000	4.945600
2.170000	4.955200
2.172000	4.964800
2.174000	4.974400
2.176000	4.981600
2.178000	4.991200
2.180000	5.000800
2.182000	5.010400
2.184000	5.020000
2.186000	5.027200
2.188000	5.036800
2.190000	5.046400
2.192000	5.053600
2.194000	5.063200
2.196000	5.072800
2.198000	5.080000
2.200000	5.089600
2.202000	5.096800
2.204000	5.106400
2.206000	5.113600
2.208000	5.120800
2.210000	5.130400
2.212000	5.137600
2.214000	5.147200
2.216000	5.154400
2.218000	5.161600
2.220000	5.168800
2.222000	5.178400
2.224000	5.185600
2.226000	5.192800
2.228000	5.200000
2.230000	5.207200
2.232000	5.214400
2.234000	5.221600
2.236000	5.228800
2.238000	5.236000
2.240000	5.243200
2.242000	5.250400
2.244000	5.257600
2.246000	5.264800
2.248000	5.272000
2.250000	5.279200
2.252000	5.286400
2.254000	5.293600
2.256000	5.300800
2.258000	5.305600
2.260000	5.312800
2.262000	5.320000
2.264000	5.327200
2.266000	5.334400
2.268000	5.339200
2.270000	5.346400
2.272000	5.353600
2.274000	5.358400
2.276000	5.365600
2.278000	5.372800
2.280000	5.377600
2.282000	5.384800
2.284000	5.389600
2.286000	5.396800
2.288000	5.401600
2.290000	5.408800
2.292000	5.413600
2.294000	5.420800
2.296000	5.425600
2.298000	5.430400
2.300000	5.437600
2.302000	5.442400
2.304000	5.449600
2.306000	5.454400
2.308000	5.461600
2.310000	5.466400
2.312000	5.473600
2.314000	5.478400
2.316000	5.485600
2.318000	5.490400
2.320000	5.497600
2.322000	5.502400
2.324000	5.509600
2.326000	5.514400
2.328000	5.521600
2.330000	5.526400
2.332000	5.533600
2.334000	5.540800
2.336000	5.545600
2.338000	5.552800
2.340000	5.557600
2.342000	5.564800
2.344000	5.572000
2.346000	5.576800
2.348000	5.584000
2.350000	5.588800
2.352000	5.596000
2.354000	5.603200
2.356000	5.610400
2.358000	5.615200
2.360000	5.622400
2.362000	5.629600
2.364000	5.634400
2.366000	5.641600
2.368000	5.648800
2.370000	5.653600
2.372000	5.660800
2.374000	5.668000
2.376000	5.675200
2.378000	5.680000
2.380000	5.687200
2.382000	5.694400
2.384000	5.699200
2.386000	5.706400
2.388000	5.713600
2.390000	5.718400
2.392000	5.725600
2.394000	5.732800
2.396000	5.737600
2.398000	5.744800
2.400000	5.752000
2.402000	5.756800
2.404000	5.764000
2.406000	5.771200
2.408000	5.776000
2.410000	5.783200
2.412000	5.788000
2.414000	5.795200
2.416000	5.802400
2.418000	5.807200
2.420000	5.814400
2.422000	5.819200
2.424000	5.826400
2.426000	5.833600
2.428000	5.838400
2.430000	5.845600
2.432000	5.850400
2.434000	5.857600
2.436000	5.864800
2.438000	5.869600
2.440000	5.876800
2.442000	5.881600
2.444000	5.888800
2.446000	5.893600
2.448000	5.898400
2.450000	5.905600
2.452000	5.910400
2.454000	5.915200
2.456000	5.922400
2.458000	5.927200
2.460000	5.932000
2.462000	5.936800
2.464000	5.944000
2.466000	5.948800
2.468000	5.953600
2.470000	5.958400
2.472000	5.963200
2.474000	5.968000
2.476000	5.972800
2.478000	5.977600
2.480000	5.982400
2.482000	5.987200
2.484000	5.989600
2.486000	5.994400
2.488000	5.999200
2.490000	6.004000
2.492000	6.008800
2.494000	6.011200
2.496000	6.016000
2.498000	6.020800
2.500000	6.023200
2.502000	6.028000
2.504000	6.030400
2.506000	6.035200
2.508000	6.037600
2.510000	6.042400
2.512000	6.044800
2.514000	6.047200
2.516000	6.052000
2.518000	6.054400
2.520000	6.056800
2.522000	6.059200
2.524000	6.064000
2.526000	6.066400
2.528000	6.068800
2.530000	6.071200
2.532000	6.073600
2.534000	6.076000
2.536000	6.078400
2.538000	6.080800
2.540000	6.083200
2.542000	6.085600
2.544000	6.088000
2.546000	6.088000
2.548000	6.090400
2.550000	6.092800
2.552000	6.092800
2.554000	6.095200
2.556000	6.097600
2.558000	6.097600
2.560000	6.100000
2.562000	6.100000
2.564000	6.102400
2.566000	6.102400
2.568000	6.104800
2.570000	6.104800
2.572000	6.104800
2.574000	6.107200
2.576000	6.107200
2.578000	6.107200
2.580000	6.107200
2.582000	6.107200
2.584000	6.109600
2.586000	6.109600
2.588000	6.109600
2.590000	6.109600
2.592000	6.109600
2.594000	6.109600
2.596000	6.112000
2.598000	6.112000
2.600000	6.112000
2.602000	6.112000
2.604000	6.112000
2.606000	6.114400
2.608000	6.114400
2.610000	6.114400
2.612000	6.114400
2.614000	6.116800
2.616000	6.116800
2.618000	6.116800
2.620000	6.116800
2.622000	6.119200
2.624000	6.119200
2.626000	6.119200
2.628000	6.121600
2.630000	6.121600
2.632000	6.121600
2.634000	6.124000
2.636000	6.124000
2.638000	6.124000
2.640000	6.126400
2.642000	6.126400
2.644000	6.126400
2.646000	6.128800
2.648000	6.128800
2.650000	6.128800
2.652000	6.131200
2.654000	6.131200
2.656000	6.131200
2.658000	6.133600
2.660000	6.133600
2.662000	6.133600
2.664000	6.136000
2.666000	6.136000
2.668000	6.136000
2.670000	6.138400
2.672000	6.138400
2.674000	6.138400
2.676000	6.138400
2.678000	6.138400
2.680000	6.138400
2.682000	6.138400
2.684000	6.140800
2.686000	6.140800
2.688000	6.140800
2.690000	6.140800
2.692000	6.140800
2.694000	6.140800
2.696000	6.140800
2.698000	6.140800
2.700000	6.140800
2.702000	6.140800
2.704000	6.140800
2.706000	6.140800
2.708000	6.138400
2.710000	6.138400
2.712000	6.138400
2.714000	6.138400
2.716000	6.138400
2.718000	6.136000
2.720000	6.136000
2.722000	6.136000
2.724000	6.136000
2.726000	6.133600
2.728000	6.133600
2.730000	6.133600
2.732000	6.133600
2.734000	6.136000
2.736000	6.136000
2.738000	6.136000
2.740000	6.138400
2.742000	6.140800
2.744000	6.140800
2.746000	6.143200
2.748000	6.145600
2.750000	6.148000
2.752000	6.150400
2.754000	6.155200
2.756000	6.157600
2.758000	6.160000
2.760000	6.164800
2.762000	6.169600
2.764000	6.174400
2.766000	6.176800
2.768000	6.181600
2.770000	6.188800
2.772000	6.193600
2.774000	6.198400
2.776000	6.205600
2.778000	6.212800
2.780000	6.217600
2.782000	6.224800
2.784000	6.232000
2.786000	6.239200
2.788000	6.246400
2.790000	6.256000
2.792000	6.263200
2.794000	6.270400
